                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1161,                 2.4901,                 1.4909,                0.00333,                      1,                0.15541,                 0.0973,                 1.1822,                 2.9583,                 1.3702,                    0.1,                      0,                      0
                      1,                 1.0085,                 2.3084,                 1.5036,                0.00333,                      1,                0.13787,                0.08636,                 1.1853,                 2.9581,                 1.3721,               0.099099,              9.901e-05,              9.901e-05
                      2,                 1.1542,                  2.267,                 1.4644,                0.00333,                      1,                0.12369,                0.07737,                 1.1871,                 2.9619,                 1.3707,               0.098196,             0.00019604,             0.00019604
                      3,                 1.1494,                 2.5462,                 1.4433,                0.00333,                      1,                0.12294,                0.07659,                 1.1893,                 2.9669,                 1.3709,               0.097291,             0.00029109,             0.00029109
                      4,                 1.4473,                 2.5587,                  1.568,                0.00333,                      1,                0.12246,                 0.0762,                 1.1897,                 2.9673,                 1.3703,               0.096384,             0.00038416,             0.00038416
                      5,                 1.1372,                 2.7446,                  1.462,                0.07552,                   0.75,                0.25695,                0.16871,                 1.1889,                 2.6331,                 1.3652,               0.095475,             0.00047525,             0.00047525
                      6,                 1.1647,                 2.6977,                  1.755,                0.70772,                    0.5,                0.67357,                0.44829,                 1.1757,                 2.1654,                 1.3535,               0.094564,             0.00056436,             0.00056436
                      7,                 1.1658,                 2.1133,                 1.6945,                0.78787,                    0.5,                0.67907,                0.45254,                 1.1778,                 2.1559,                 1.3535,               0.093651,             0.00065149,             0.00065149
                      8,                  1.318,                 1.8617,                 1.8038,                0.78787,                    0.5,                0.67907,                0.45254,                 1.1778,                 2.1559,                 1.3535,               0.092737,             0.00073664,             0.00073664
                      9,                 1.1187,                 1.9838,                 1.5734,                0.64489,                0.91834,                0.84917,                0.60856,                 1.1675,                 1.5712,                 1.3443,                0.09182,             0.00081981,             0.00081981
